date,BYR,EUR,KZT,UAH,USD
2003-01,0.0164252,33.2719,0.203925,5.9419,31.7844
2003-02,0.0162562,34.429,0.205576,5.94182,31.8345
2003-03,0.0159886999999999,33.9409,0.208194,5.89454,31.5729
2003-04,0.0156963,33.9815,0.206202,5.85471,31.3801
2003-05,0.015331,34.5513,0.204875,5.77205,31.1021
2003-06,0.0150078,36.4669,0.204125,5.63882,30.709
2003-07,0.0147152,34.7223,0.205946,5.64921,30.3809
2003-08,0.0145703999999999,34.3395,0.2063579999999999,5.64751,30.2791
2003-09,0.0145172,33.2001,0.206829,5.67055,30.5036
2003-10,0.0144789,35.6043,0.205656,5.6789700000000005,30.6142
2003-11,0.0140383,34.7992,0.202923,5.5546500000000005,29.9451
2003-12,0.0138432,35.5021,0.202809,5.51687,29.7387
2004-01,0.0135751,37.0979,0.20567,5.474,29.4545
2004-02,0.0131915,35.3635,0.204323,5.27896,28.4937
2004-03,0.0132329,35.5076,0.2050979999999999,5.2939,28.5156
2004-04,0.0132609999999999,34.9082,0.205346,5.2941,28.5151
2004-05,0.0134213,34.6289,0.209668,5.40129,28.9612
2004-06,0.013446,35.3907,0.21172,5.43363,28.9993
2004-07,0.0134428,35.0889,0.2136789999999999,5.443,29.0471
2004-08,0.0134551999999999,35.0532,0.213478,5.455,29.1019
2004-09,0.0135205,35.3713,0.214521,5.47267,29.2591
2004-10,0.0134572,36.0312,0.217488,5.43157,29.2224
2004-11,0.0132083999999999,36.6472,0.217885,5.34595,28.7655
2004-12,0.0128957,37.3264,0.2164519999999999,5.25728,28.1496
2005-01,0.0127492,37.8409,0.213438,5.12337,27.7487
2005-02,0.0129161,36.5899,0.216228,5.28382,28.1136
2005-03,0.0128099,36.72,0.212837,5.22822,27.7007
2005-04,0.0129155,36.0274,0.2102349999999999,5.32108,27.8548
2005-05,0.0128986999999999,36.0072,0.211391,5.46974,27.7726
2005-06,0.0131016,34.9134,0.21324,5.5555900000000005,28.1946
2005-07,0.0133038,34.6258,0.21209,5.67558,28.6282
2005-08,0.0133166,34.716,0.210728,5.6852,28.6341
2005-09,0.0132644,34.879,0.211038,5.65612,28.5566
2005-10,0.0132558,34.3074,0.213347,5.59429,28.5348
2005-11,0.0132476,34.3946,0.212574,5.54059,28.503
2005-12,0.0133818,33.9393,0.214631,5.66375,28.7792
2006-01,0.0133634,34.185,0.215337,5.67232,28.7825
2006-02,0.0130756,34.0492,0.213002,5.49284,28.1305
2006-03,0.0130665,33.3291,0.215807,5.50315,28.1211
